location_type,industry_hint,business_size,cleaning_needs_m2,budget_eur,prior_cleaning_machine,usage_frequency,dirt_type,eco_preference,price_sensitivity,customer_segment
urban,persoana_fizica,5,467,282,nu,ocazional,usoara,nu,ridicat,persoana_fizica
urban,firm_curatenie,172,29277,2079,da,lunar,greu,nu,mediu,firma_curatenie
urban,firm_curatenie,59,6078,2919,nu,saptamanal,medie,da,mediu,firma_curatenie
urban,retail,81,5602,1185,nu,lunar,medie,nu,mediu,horeca
urban,firm_curatenie,175,30737,1245,da,lunar,greu,nu,mediu,firma_curatenie
rural,horeca,48,1901,1058,nu,lunar,medie,nu,ridicat,horeca
urban,retail,70,3445,2939,nu,zilnic,greu,da,ridicat,firma_curatenie
urban,firm_curatenie,165,23199,1682,nu,zilnic,usoara,da,scazut,firma_curatenie
urban,firm_curatenie,156,12006,1644,nu,ocazional,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,4,581,253,nu,ocazional,usoara,nu,mediu,firma_curatenie
urban,horeca,132,5275,2290,nu,saptamanal,medie,nu,ridicat,horeca
urban,persoana_fizica,1,57,286,nu,ocazional,medie,nu,mediu,persoana_fizica
rural,retail,12,477,2782,nu,lunar,greu,da,scazut,firma_curatenie
periurban,firm_curatenie,104,19869,1633,nu,saptamanal,greu,nu,mediu,firma_curatenie
rural,persoana_fizica,4,348,75,da,saptamanal,usoara,nu,mediu,persoana_fizica
periurban,persoana_fizica,1,74,253,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,firm_curatenie,113,1434,2282,nu,saptamanal,medie,nu,ridicat,firma_curatenie
rural,persoana_fizica,4,156,226,nu,ocazional,medie,nu,scazut,persoana_fizica
urban,horeca,144,12962,3544,da,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,2,46,157,da,lunar,medie,da,ridicat,persoana_fizica
urban,firm_curatenie,98,10489,1848,da,lunar,medie,da,ridicat,firma_curatenie
urban,persoana_fizica,4,385,163,nu,zilnic,medie,da,ridicat,firma_curatenie
urban,horeca,67,10436,4875,da,zilnic,medie,nu,mediu,firma_curatenie
urban,retail,86,11641,2169,nu,lunar,medie,nu,scazut,firma_curatenie
periurban,firm_curatenie,29,2747,1380,nu,saptamanal,medie,nu,ridicat,firma_curatenie
urban,horeca,16,842,4978,nu,lunar,greu,nu,mediu,horeca
urban,persoana_fizica,5,740,296,da,zilnic,medie,nu,scazut,horeca
urban,persoana_fizica,1,144,218,nu,saptamanal,medie,da,mediu,persoana_fizica
urban,persoana_fizica,3,117,189,da,zilnic,greu,nu,mediu,persoana_fizica
periurban,persoana_fizica,1,183,169,nu,saptamanal,usoara,nu,mediu,persoana_fizica
urban,retail,52,1156,2447,nu,zilnic,greu,nu,ridicat,firma_curatenie
rural,retail,64,1309,1450,da,ocazional,medie,nu,mediu,firma_curatenie
periurban,horeca,93,4240,3725,da,saptamanal,greu,nu,mediu,horeca
urban,persoana_fizica,3,548,332,da,ocazional,usoara,nu,scazut,persoana_fizica
urban,retail,98,10662,3175,nu,ocazional,medie,nu,mediu,firma_curatenie
periurban,industrial,186,29705,1690,da,ocazional,medie,nu,scazut,firma_curatenie
periurban,retail,16,852,3046,nu,saptamanal,medie,nu,mediu,horeca
periurban,horeca,5,515,3291,da,lunar,usoara,nu,scazut,horeca
periurban,firm_curatenie,29,2264,2446,nu,zilnic,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,3,501,134,da,zilnic,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,5,71,200,da,ocazional,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,5,281,270,da,zilnic,medie,da,mediu,firma_curatenie
periurban,persoana_fizica,1,38,114,nu,ocazional,usoara,nu,scazut,persoana_fizica
urban,retail,21,3638,1961,nu,lunar,greu,nu,mediu,persoana_fizica
urban,horeca,27,2668,2568,da,saptamanal,medie,nu,mediu,horeca
urban,retail,11,954,3698,da,zilnic,usoara,nu,scazut,firma_curatenie
urban,horeca,122,11639,4721,da,lunar,usoara,nu,scazut,firma_curatenie
urban,horeca,98,19077,127,nu,saptamanal,medie,nu,ridicat,horeca
periurban,persoana_fizica,2,343,279,da,lunar,medie,nu,mediu,persoana_fizica
urban,retail,18,2595,3914,nu,saptamanal,medie,nu,scazut,horeca
periurban,firm_curatenie,37,2412,3114,nu,zilnic,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,134,5545,1470,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,industrial,23,4256,4310,nu,saptamanal,greu,nu,ridicat,firma_curatenie
periurban,firm_curatenie,5,451,432,da,zilnic,greu,nu,mediu,firma_curatenie
periurban,persoana_fizica,2,125,50,nu,zilnic,usoara,nu,scazut,persoana_fizica
urban,persoana_fizica,2,198,171,da,saptamanal,greu,nu,mediu,persoana_fizica
periurban,persoana_fizica,1,184,206,da,lunar,medie,da,mediu,persoana_fizica
urban,persoana_fizica,2,167,214,nu,lunar,medie,nu,mediu,persoana_fizica
urban,firm_curatenie,179,20925,2821,da,zilnic,medie,da,mediu,firma_curatenie
urban,persoana_fizica,4,650,444,da,lunar,medie,nu,scazut,persoana_fizica
urban,horeca,18,1640,2406,da,lunar,greu,nu,ridicat,horeca
urban,persoana_fizica,5,271,115,da,saptamanal,medie,nu,mediu,persoana_fizica
urban,firm_curatenie,156,31037,2546,da,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,3,575,217,da,saptamanal,medie,nu,mediu,persoana_fizica
urban,firm_curatenie,76,12939,1425,da,zilnic,usoara,nu,ridicat,firma_curatenie
urban,horeca,134,18865,4366,nu,saptamanal,medie,nu,ridicat,firma_curatenie
rural,firm_curatenie,31,2046,1188,nu,saptamanal,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,78,14316,1871,nu,saptamanal,usoara,da,mediu,firma_curatenie
urban,retail,89,5549,2414,nu,ocazional,usoara,nu,ridicat,horeca
periurban,horeca,76,12323,1578,nu,saptamanal,medie,da,ridicat,firma_curatenie
urban,industrial,485,89467,50,nu,lunar,usoara,nu,ridicat,firma_curatenie
urban,industrial,32,3986,5656,nu,lunar,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,4,650,309,nu,zilnic,medie,da,mediu,persoana_fizica
urban,firm_curatenie,146,23421,2960,da,ocazional,greu,da,mediu,firma_curatenie
rural,horeca,121,5650,4541,nu,zilnic,medie,da,mediu,horeca
periurban,retail,95,13006,1541,nu,ocazional,medie,nu,ridicat,firma_curatenie
urban,horeca,69,1915,3321,nu,zilnic,medie,nu,ridicat,horeca
periurban,firm_curatenie,72,7667,575,nu,saptamanal,usoara,nu,scazut,firma_curatenie
periurban,persoana_fizica,1,40,213,da,lunar,medie,nu,mediu,persoana_fizica
urban,retail,92,8197,4166,da,ocazional,medie,da,mediu,firma_curatenie
periurban,retail,83,13966,4203,nu,saptamanal,greu,nu,mediu,firma_curatenie
urban,firm_curatenie,107,21139,4030,nu,lunar,greu,da,ridicat,firma_curatenie
periurban,persoana_fizica,4,281,279,da,lunar,usoara,nu,mediu,persoana_fizica
periurban,firm_curatenie,17,1888,2475,da,zilnic,greu,nu,mediu,firma_curatenie
urban,firm_curatenie,198,21215,2874,nu,saptamanal,greu,nu,mediu,firma_curatenie
urban,retail,21,4018,3316,da,saptamanal,medie,da,mediu,horeca
urban,firm_curatenie,156,15745,1192,da,saptamanal,usoara,da,mediu,firma_curatenie
urban,horeca,92,13140,727,da,lunar,medie,nu,scazut,firma_curatenie
periurban,firm_curatenie,15,2777,2882,da,ocazional,usoara,nu,scazut,firma_curatenie
periurban,retail,61,4937,5012,da,lunar,medie,nu,mediu,firma_curatenie
urban,retail,88,15963,3608,nu,ocazional,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,2,368,50,da,zilnic,medie,nu,mediu,persoana_fizica
urban,retail,43,8033,1876,da,zilnic,greu,nu,ridicat,firma_curatenie
urban,firm_curatenie,159,9760,1803,nu,ocazional,usoara,da,ridicat,firma_curatenie
urban,persoana_fizica,4,344,51,nu,ocazional,medie,nu,ridicat,persoana_fizica
urban,horeca,77,13503,934,da,zilnic,usoara,da,mediu,firma_curatenie
rural,firm_curatenie,56,4381,1962,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,persoana_fizica,4,496,220,nu,lunar,medie,nu,mediu,persoana_fizica
urban,industrial,74,2399,2041,nu,zilnic,usoara,nu,mediu,horeca
periurban,firm_curatenie,21,434,577,nu,saptamanal,medie,da,ridicat,firma_curatenie
urban,horeca,99,8739,4789,nu,lunar,greu,nu,mediu,horeca
rural,firm_curatenie,176,21118,1617,da,ocazional,usoara,nu,mediu,firma_curatenie
rural,firm_curatenie,142,12015,1760,nu,lunar,medie,nu,mediu,firma_curatenie
urban,industrial,328,39284,3359,nu,lunar,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,5,539,138,da,saptamanal,usoara,da,ridicat,persoana_fizica
urban,persoana_fizica,5,701,304,nu,lunar,greu,nu,ridicat,persoana_fizica
urban,retail,84,11206,1444,nu,zilnic,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,179,16218,2179,nu,ocazional,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,1,90,200,da,saptamanal,usoara,da,mediu,horeca
urban,horeca,74,2719,77,da,lunar,medie,nu,scazut,horeca
urban,persoana_fizica,4,430,219,nu,ocazional,medie,nu,scazut,persoana_fizica
urban,industrial,62,7536,368,da,zilnic,medie,da,scazut,firma_curatenie
rural,retail,80,8042,3262,nu,ocazional,medie,nu,ridicat,horeca
urban,horeca,123,8841,1220,da,saptamanal,medie,nu,scazut,horeca
urban,retail,76,11180,3126,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,58,1402,1570,nu,zilnic,medie,nu,mediu,firma_curatenie
rural,firm_curatenie,24,4409,1325,da,ocazional,greu,nu,mediu,firma_curatenie
urban,firm_curatenie,83,1155,2210,da,ocazional,greu,da,ridicat,firma_curatenie
urban,horeca,35,6749,792,da,zilnic,medie,nu,scazut,firma_curatenie
periurban,persoana_fizica,2,195,194,da,zilnic,medie,nu,ridicat,horeca
urban,persoana_fizica,1,88,262,nu,ocazional,usoara,nu,scazut,persoana_fizica
periurban,industrial,275,16149,8127,nu,zilnic,usoara,da,ridicat,horeca
urban,persoana_fizica,2,23,162,da,lunar,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,5,311,174,nu,lunar,medie,nu,mediu,persoana_fizica
urban,firm_curatenie,43,1323,508,da,ocazional,usoara,da,mediu,horeca
urban,firm_curatenie,160,21658,1249,nu,saptamanal,medie,da,mediu,firma_curatenie
urban,persoana_fizica,5,353,75,da,saptamanal,greu,da,mediu,firma_curatenie
periurban,horeca,123,19158,3660,nu,ocazional,greu,nu,scazut,firma_curatenie
urban,retail,69,3402,3510,nu,zilnic,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,47,8509,1545,nu,saptamanal,medie,da,ridicat,firma_curatenie
urban,firm_curatenie,56,6124,941,nu,zilnic,usoara,da,mediu,firma_curatenie
urban,horeca,105,3334,3462,nu,ocazional,medie,nu,ridicat,horeca
urban,firm_curatenie,60,5169,1132,nu,lunar,greu,da,mediu,firma_curatenie
urban,firm_curatenie,80,3942,2671,nu,zilnic,greu,nu,mediu,firma_curatenie
urban,persoana_fizica,4,191,354,da,lunar,medie,nu,scazut,persoana_fizica
urban,firm_curatenie,141,14975,1115,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,2,275,140,da,ocazional,medie,nu,mediu,persoana_fizica
urban,horeca,129,23633,810,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,96,10119,2146,nu,lunar,greu,da,mediu,firma_curatenie
urban,horeca,27,5224,3117,nu,lunar,usoara,nu,scazut,persoana_fizica
rural,retail,65,12279,2175,nu,zilnic,medie,nu,ridicat,firma_curatenie
urban,horeca,113,19702,3024,da,ocazional,usoara,nu,scazut,horeca
urban,retail,63,6614,1247,nu,zilnic,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,172,6324,336,da,lunar,medie,nu,scazut,firma_curatenie
rural,retail,46,2364,1589,da,lunar,medie,nu,scazut,firma_curatenie
periurban,firm_curatenie,156,20756,84,da,lunar,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,3,270,129,da,zilnic,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,2,75,224,nu,ocazional,usoara,nu,ridicat,persoana_fizica
periurban,industrial,227,22929,5178,nu,zilnic,usoara,nu,mediu,firma_curatenie
urban,horeca,20,266,339,nu,lunar,greu,nu,mediu,horeca
urban,firm_curatenie,26,3885,3049,da,lunar,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,61,1462,1805,nu,ocazional,usoara,nu,ridicat,firma_curatenie
urban,retail,64,8290,940,nu,lunar,usoara,nu,mediu,firma_curatenie
periurban,persoana_fizica,2,321,170,nu,saptamanal,usoara,nu,mediu,persoana_fizica
rural,retail,84,2956,1800,nu,lunar,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,75,8140,1132,nu,zilnic,medie,da,mediu,firma_curatenie
urban,horeca,94,14854,4218,da,zilnic,greu,nu,mediu,firma_curatenie
urban,firm_curatenie,76,4523,893,nu,ocazional,medie,nu,ridicat,firma_curatenie
periurban,industrial,335,13719,5553,nu,saptamanal,usoara,da,ridicat,firma_curatenie
periurban,persoana_fizica,2,147,92,nu,zilnic,medie,nu,mediu,persoana_fizica
periurban,industrial,244,28155,4889,da,saptamanal,medie,da,ridicat,firma_curatenie
periurban,horeca,61,7277,3398,nu,zilnic,greu,da,scazut,horeca
urban,persoana_fizica,5,174,221,nu,zilnic,medie,nu,mediu,horeca
urban,persoana_fizica,1,96,206,nu,zilnic,usoara,nu,mediu,persoana_fizica
urban,horeca,35,2134,2641,nu,lunar,medie,nu,mediu,horeca
periurban,retail,73,12408,1223,da,lunar,medie,da,scazut,firma_curatenie
urban,industrial,402,27970,1842,da,lunar,medie,da,mediu,firma_curatenie
urban,retail,15,2540,2858,nu,zilnic,usoara,nu,ridicat,horeca
urban,persoana_fizica,2,182,99,nu,lunar,medie,nu,mediu,persoana_fizica
urban,horeca,135,19986,763,nu,saptamanal,usoara,da,scazut,firma_curatenie
urban,horeca,39,4169,5144,da,saptamanal,usoara,nu,scazut,horeca
urban,industrial,490,62804,4220,nu,ocazional,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,25,2127,2635,da,saptamanal,usoara,nu,scazut,firma_curatenie
urban,persoana_fizica,4,623,269,nu,lunar,medie,nu,ridicat,persoana_fizica
urban,persoana_fizica,2,181,204,da,ocazional,usoara,da,mediu,persoana_fizica
urban,persoana_fizica,1,96,169,nu,saptamanal,usoara,nu,mediu,persoana_fizica
periurban,industrial,172,18637,3920,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,horeca,19,3192,5412,nu,saptamanal,usoara,da,scazut,horeca
urban,horeca,124,16774,2161,nu,zilnic,medie,nu,mediu,horeca
periurban,firm_curatenie,100,7634,2176,nu,lunar,usoara,nu,scazut,firma_curatenie
urban,horeca,10,1373,4015,da,lunar,usoara,nu,scazut,horeca
periurban,horeca,113,14922,3376,nu,zilnic,medie,da,scazut,horeca
urban,horeca,101,18876,4626,nu,zilnic,usoara,nu,ridicat,horeca
urban,retail,34,5775,2036,da,ocazional,usoara,nu,mediu,horeca
urban,industrial,445,59191,7020,nu,saptamanal,medie,da,scazut,firma_curatenie
urban,firm_curatenie,87,6515,205,nu,zilnic,medie,nu,mediu,firma_curatenie
urban,horeca,122,19290,5020,da,saptamanal,greu,nu,scazut,firma_curatenie
urban,industrial,491,58571,8369,da,lunar,medie,nu,scazut,firma_curatenie
rural,firm_curatenie,196,38651,1695,nu,zilnic,greu,nu,ridicat,firma_curatenie
urban,firm_curatenie,83,4733,2438,nu,zilnic,usoara,da,scazut,firma_curatenie
periurban,firm_curatenie,82,2061,2891,da,lunar,medie,da,ridicat,firma_curatenie
urban,persoana_fizica,3,69,116,nu,lunar,medie,da,mediu,persoana_fizica
periurban,firm_curatenie,111,14608,1855,nu,saptamanal,greu,nu,scazut,firma_curatenie
urban,industrial,391,73687,1082,da,zilnic,medie,nu,scazut,firma_curatenie
urban,horeca,19,196,4707,da,saptamanal,greu,nu,mediu,horeca
urban,persoana_fizica,4,591,265,nu,saptamanal,medie,da,mediu,firma_curatenie
urban,firm_curatenie,77,10382,1719,nu,saptamanal,medie,nu,mediu,firma_curatenie
periurban,persoana_fizica,5,745,168,nu,saptamanal,greu,da,ridicat,persoana_fizica
urban,persoana_fizica,4,310,188,da,zilnic,greu,nu,ridicat,firma_curatenie
urban,retail,40,6635,1423,da,saptamanal,medie,da,mediu,firma_curatenie
urban,retail,28,517,2291,nu,ocazional,usoara,nu,ridicat,horeca
urban,persoana_fizica,2,307,116,nu,saptamanal,usoara,nu,scazut,persoana_fizica
rural,industrial,101,6135,7694,da,saptamanal,usoara,da,scazut,firma_curatenie
rural,retail,53,5331,3864,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
rural,retail,75,12472,3634,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,127,7817,805,nu,lunar,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,57,2575,1791,da,saptamanal,medie,nu,mediu,firma_curatenie
rural,firm_curatenie,188,26216,2584,da,lunar,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,3,334,261,nu,zilnic,medie,nu,scazut,persoana_fizica
rural,horeca,82,8834,241,da,ocazional,usoara,nu,mediu,horeca
rural,horeca,96,5643,4110,nu,zilnic,greu,nu,ridicat,horeca
periurban,retail,60,997,1008,da,zilnic,usoara,nu,scazut,persoana_fizica
urban,retail,90,7915,2315,da,zilnic,medie,nu,mediu,firma_curatenie
urban,industrial,262,7924,8772,da,zilnic,greu,da,mediu,horeca
periurban,horeca,17,3096,4683,da,saptamanal,usoara,da,mediu,horeca
urban,persoana_fizica,3,53,306,da,saptamanal,medie,nu,scazut,persoana_fizica
urban,horeca,80,7361,1400,nu,lunar,greu,nu,scazut,horeca
urban,firm_curatenie,55,1095,1180,da,zilnic,usoara,nu,mediu,firma_curatenie
rural,firm_curatenie,23,647,1437,da,saptamanal,greu,da,mediu,firma_curatenie
urban,horeca,126,17033,2780,nu,saptamanal,medie,nu,ridicat,firma_curatenie
urban,horeca,28,3722,3325,da,lunar,usoara,da,scazut,horeca
urban,retail,28,455,4032,nu,zilnic,usoara,nu,ridicat,firma_curatenie
urban,firm_curatenie,177,1808,1071,da,zilnic,medie,da,mediu,horeca
rural,persoana_fizica,4,99,149,da,saptamanal,greu,nu,scazut,persoana_fizica
urban,persoana_fizica,2,309,313,nu,lunar,usoara,nu,scazut,persoana_fizica
urban,horeca,104,12591,1261,nu,lunar,medie,nu,mediu,firma_curatenie
periurban,persoana_fizica,2,34,258,da,zilnic,usoara,nu,ridicat,horeca
periurban,horeca,21,2157,2867,da,zilnic,medie,nu,mediu,horeca
urban,persoana_fizica,4,581,231,da,zilnic,medie,nu,mediu,firma_curatenie
periurban,horeca,48,8404,1782,da,saptamanal,medie,nu,scazut,horeca
urban,firm_curatenie,65,12185,2707,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,127,9171,1345,da,zilnic,greu,da,scazut,firma_curatenie
periurban,persoana_fizica,5,179,86,nu,saptamanal,usoara,nu,scazut,persoana_fizica
periurban,industrial,205,11278,6440,da,saptamanal,medie,nu,ridicat,firma_curatenie
periurban,horeca,78,12282,50,nu,saptamanal,usoara,da,ridicat,firma_curatenie
rural,persoana_fizica,1,194,154,nu,zilnic,medie,da,scazut,horeca
urban,persoana_fizica,3,295,223,nu,saptamanal,medie,da,ridicat,persoana_fizica
urban,industrial,120,8162,7273,da,saptamanal,medie,nu,scazut,horeca
periurban,retail,4,366,3971,nu,ocazional,medie,da,scazut,firma_curatenie
urban,persoana_fizica,1,67,342,nu,lunar,medie,da,scazut,persoana_fizica
periurban,persoana_fizica,1,58,317,nu,zilnic,greu,da,scazut,horeca
periurban,retail,51,6263,2729,nu,zilnic,usoara,da,scazut,firma_curatenie
periurban,horeca,30,389,4688,nu,saptamanal,usoara,nu,mediu,horeca
urban,horeca,103,6109,3264,nu,saptamanal,medie,nu,mediu,horeca
urban,firm_curatenie,31,4205,2685,da,ocazional,medie,nu,mediu,horeca
urban,retail,91,1464,1780,nu,saptamanal,medie,da,mediu,firma_curatenie
urban,retail,20,516,3054,nu,ocazional,greu,nu,mediu,horeca
urban,firm_curatenie,186,12228,1526,da,saptamanal,medie,nu,ridicat,firma_curatenie
urban,persoana_fizica,1,176,186,nu,ocazional,greu,nu,ridicat,persoana_fizica
urban,persoana_fizica,5,776,237,nu,lunar,medie,da,ridicat,persoana_fizica
urban,firm_curatenie,107,1520,4091,nu,lunar,usoara,nu,mediu,horeca
urban,industrial,396,41708,6184,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,45,2798,1988,da,lunar,greu,nu,scazut,firma_curatenie
urban,firm_curatenie,169,22518,1168,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
periurban,persoana_fizica,3,441,271,nu,ocazional,greu,nu,scazut,persoana_fizica
urban,persoana_fizica,2,347,173,nu,lunar,medie,nu,scazut,persoana_fizica
urban,firm_curatenie,87,8728,2374,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,persoana_fizica,2,397,256,nu,ocazional,medie,nu,mediu,persoana_fizica
periurban,persoana_fizica,2,392,301,da,ocazional,medie,da,mediu,persoana_fizica
urban,firm_curatenie,106,18826,2842,da,lunar,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,82,9776,776,da,saptamanal,usoara,nu,scazut,firma_curatenie
urban,persoana_fizica,1,85,62,da,ocazional,greu,nu,ridicat,firma_curatenie
urban,horeca,87,6893,4052,nu,lunar,medie,nu,mediu,horeca
urban,industrial,295,3629,5258,nu,lunar,greu,nu,mediu,firma_curatenie
urban,retail,7,401,2969,nu,ocazional,medie,nu,mediu,firma_curatenie
urban,industrial,384,56284,10159,nu,zilnic,medie,da,mediu,firma_curatenie
periurban,horeca,35,4364,2075,nu,zilnic,medie,da,mediu,horeca
rural,industrial,189,34798,8874,nu,saptamanal,medie,da,mediu,firma_curatenie
urban,horeca,27,526,2090,nu,zilnic,usoara,nu,mediu,horeca
urban,horeca,52,2054,5347,da,lunar,greu,nu,mediu,horeca
periurban,firm_curatenie,113,18075,2750,nu,zilnic,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,44,3437,492,da,zilnic,greu,nu,mediu,firma_curatenie
urban,persoana_fizica,1,32,166,da,saptamanal,greu,nu,mediu,horeca
urban,persoana_fizica,4,797,353,nu,saptamanal,medie,nu,scazut,persoana_fizica
urban,firm_curatenie,31,4946,3790,da,zilnic,medie,nu,ridicat,firma_curatenie
rural,persoana_fizica,3,262,248,da,zilnic,medie,da,ridicat,firma_curatenie
periurban,horeca,73,12149,3531,nu,saptamanal,medie,da,scazut,horeca
urban,persoana_fizica,1,139,219,nu,lunar,medie,nu,mediu,persoana_fizica
urban,horeca,21,3361,3655,da,ocazional,medie,nu,mediu,horeca
urban,retail,73,12036,2331,da,zilnic,medie,nu,mediu,firma_curatenie
urban,retail,93,2427,3953,nu,saptamanal,medie,nu,ridicat,firma_curatenie
urban,persoana_fizica,1,128,246,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,horeca,83,937,1551,nu,saptamanal,usoara,nu,ridicat,horeca
periurban,horeca,114,2081,3982,nu,ocazional,usoara,nu,ridicat,persoana_fizica
urban,retail,15,2726,2697,da,saptamanal,greu,nu,mediu,firma_curatenie
urban,horeca,143,15763,2531,da,saptamanal,medie,da,mediu,horeca
rural,firm_curatenie,128,19177,3898,nu,zilnic,usoara,da,mediu,firma_curatenie
periurban,firm_curatenie,113,19132,2103,nu,ocazional,greu,nu,mediu,firma_curatenie
urban,persoana_fizica,2,380,50,da,saptamanal,usoara,nu,ridicat,persoana_fizica
urban,persoana_fizica,4,700,180,da,saptamanal,medie,nu,ridicat,persoana_fizica
urban,retail,26,2647,3692,da,saptamanal,usoara,da,scazut,firma_curatenie
urban,firm_curatenie,77,5685,1073,nu,saptamanal,greu,nu,ridicat,firma_curatenie
urban,horeca,8,314,4439,da,lunar,greu,nu,mediu,horeca
periurban,retail,48,4130,1302,da,zilnic,medie,nu,scazut,horeca
urban,retail,20,1592,4104,da,lunar,usoara,nu,ridicat,horeca
urban,horeca,47,5467,2141,nu,saptamanal,medie,da,mediu,horeca
